source,source_label,target,target_label,type
0,DataCenter,129,Rack,CONTAINS
0,DataCenter,123,Rack,CONTAINS
0,DataCenter,60,Rack,CONTAINS
0,DataCenter,75,Rack,CONTAINS
0,DataCenter,45,Rack,CONTAINS
0,DataCenter,84,Rack,CONTAINS
0,DataCenter,69,Rack,CONTAINS
0,DataCenter,111,Rack,CONTAINS
0,DataCenter,42,Rack,CONTAINS
0,DataCenter,126,Rack,CONTAINS
0,DataCenter,120,Rack,CONTAINS
0,DataCenter,57,Rack,CONTAINS
0,DataCenter,78,Rack,CONTAINS
0,DataCenter,48,Rack,CONTAINS
0,DataCenter,117,Rack,CONTAINS
0,DataCenter,51,Rack,CONTAINS
0,DataCenter,33,Rack,CONTAINS
0,DataCenter,66,Rack,CONTAINS
0,DataCenter,36,Rack,CONTAINS
0,DataCenter,87,Rack,CONTAINS
0,DataCenter,90,Rack,CONTAINS
0,DataCenter,93,Rack,CONTAINS
0,DataCenter,132,Rack,CONTAINS
0,DataCenter,39,Rack,CONTAINS
0,DataCenter,27,Rack,CONTAINS
0,DataCenter,72,Rack,CONTAINS
0,DataCenter,114,Rack,CONTAINS
0,DataCenter,102,Rack,CONTAINS
0,DataCenter,99,Rack,CONTAINS
0,DataCenter,54,Rack,CONTAINS
0,DataCenter,81,Rack,CONTAINS
0,DataCenter,96,Rack,CONTAINS
0,DataCenter,105,Rack,CONTAINS
0,DataCenter,30,Rack,CONTAINS
0,DataCenter,63,Rack,CONTAINS
0,DataCenter,108,Rack,CONTAINS
0,DataCenter,24,Rack,CONTAINS
0,DataCenter,21,Rack,CONTAINS
0,DataCenter,18,Rack,CONTAINS
0,DataCenter,15,Rack,CONTAINS
0,DataCenter,13,Router,CONTAINS
0,DataCenter,10,Router,CONTAINS
0,DataCenter,7,Router,CONTAINS
0,DataCenter,4,Router,CONTAINS
0,DataCenter,1,Router:Egress,CONTAINS
