source,source_label,target,target_label,type
142,Interface,32180,Port,EXPOSES
142,Interface,32179,Port,EXPOSES
144,Interface,32182,Port,EXPOSES
144,Interface,32181,Port,EXPOSES
146,Interface,32183,Port,EXPOSES
146,Interface,32184,Port,EXPOSES
148,Interface,57842,Port,EXPOSES
148,Interface,57845,Port,EXPOSES
148,Interface,57846,Port,EXPOSES
148,Interface,57841,Port,EXPOSES
148,Interface,57843,Port,EXPOSES
148,Interface,57853,Port,EXPOSES
148,Interface,57852,Port,EXPOSES
148,Interface,32185,Port,EXPOSES
148,Interface,57844,Port,EXPOSES
148,Interface,57847,Port,EXPOSES
148,Interface,57851,Port,EXPOSES
148,Interface,57850,Port,EXPOSES
148,Interface,57848,Port,EXPOSES
148,Interface,57849,Port,EXPOSES
150,Interface,32186,Port,EXPOSES
150,Interface,57855,Port,EXPOSES
150,Interface,57854,Port,EXPOSES
150,Interface,57856,Port,EXPOSES
152,Interface,57859,Port,EXPOSES
152,Interface,57857,Port,EXPOSES
152,Interface,57868,Port,EXPOSES
152,Interface,57866,Port,EXPOSES
152,Interface,57867,Port,EXPOSES
152,Interface,32187,Port,EXPOSES
152,Interface,57862,Port,EXPOSES
152,Interface,57863,Port,EXPOSES
152,Interface,57860,Port,EXPOSES
152,Interface,57864,Port,EXPOSES
152,Interface,57865,Port,EXPOSES
152,Interface,57861,Port,EXPOSES
152,Interface,57869,Port,EXPOSES
152,Interface,57858,Port,EXPOSES
154,Interface,57871,Port,EXPOSES
154,Interface,32188,Port,EXPOSES
154,Interface,57870,Port,EXPOSES
154,Interface,57872,Port,EXPOSES
156,Interface,32189,Port,EXPOSES
158,Interface,32191,Port,EXPOSES
158,Interface,32190,Port,EXPOSES
160,Interface,32192,Port,EXPOSES
162,Interface,32193,Port,EXPOSES
162,Interface,32194,Port,EXPOSES
164,Interface,32195,Port,EXPOSES
166,Interface,57875,Port,EXPOSES
166,Interface,57873,Port,EXPOSES
166,Interface,32196,Port,EXPOSES
166,Interface,57884,Port,EXPOSES
166,Interface,57881,Port,EXPOSES
166,Interface,57882,Port,EXPOSES
166,Interface,57880,Port,EXPOSES
166,Interface,57883,Port,EXPOSES
166,Interface,57877,Port,EXPOSES
166,Interface,57885,Port,EXPOSES
166,Interface,57876,Port,EXPOSES
166,Interface,57879,Port,EXPOSES
166,Interface,57874,Port,EXPOSES
166,Interface,57878,Port,EXPOSES
168,Interface,32198,Port,EXPOSES
168,Interface,32197,Port,EXPOSES
170,Interface,32199,Port,EXPOSES
170,Interface,32200,Port,EXPOSES
172,Interface,32202,Port,EXPOSES
172,Interface,32201,Port,EXPOSES
174,Interface,32203,Port,EXPOSES
176,Interface,32204,Port,EXPOSES
178,Interface,57888,Port,EXPOSES
178,Interface,57887,Port,EXPOSES
178,Interface,32205,Port,EXPOSES
178,Interface,57886,Port,EXPOSES
180,Interface,32206,Port,EXPOSES
180,Interface,57890,Port,EXPOSES
180,Interface,57889,Port,EXPOSES
180,Interface,57891,Port,EXPOSES
182,Interface,32208,Port,EXPOSES
182,Interface,32207,Port,EXPOSES
184,Interface,57897,Port,EXPOSES
184,Interface,57894,Port,EXPOSES
184,Interface,57892,Port,EXPOSES
184,Interface,57904,Port,EXPOSES
184,Interface,57896,Port,EXPOSES
184,Interface,57901,Port,EXPOSES
184,Interface,57898,Port,EXPOSES
184,Interface,57895,Port,EXPOSES
184,Interface,57902,Port,EXPOSES
184,Interface,32209,Port,EXPOSES
184,Interface,57900,Port,EXPOSES
184,Interface,57893,Port,EXPOSES
184,Interface,57903,Port,EXPOSES
184,Interface,57899,Port,EXPOSES
186,Interface,32210,Port,EXPOSES
186,Interface,32211,Port,EXPOSES
188,Interface,32212,Port,EXPOSES
190,Interface,32214,Port,EXPOSES
190,Interface,32213,Port,EXPOSES
192,Interface,32215,Port,EXPOSES
194,Interface,57905,Port,EXPOSES
194,Interface,57907,Port,EXPOSES
194,Interface,32216,Port,EXPOSES
194,Interface,57906,Port,EXPOSES
196,Interface,57913,Port,EXPOSES
196,Interface,32217,Port,EXPOSES
196,Interface,57915,Port,EXPOSES
196,Interface,57908,Port,EXPOSES
196,Interface,57917,Port,EXPOSES
196,Interface,57919,Port,EXPOSES
196,Interface,57914,Port,EXPOSES
196,Interface,57912,Port,EXPOSES
196,Interface,57911,Port,EXPOSES
196,Interface,57910,Port,EXPOSES
196,Interface,57920,Port,EXPOSES
196,Interface,57916,Port,EXPOSES
196,Interface,57909,Port,EXPOSES
196,Interface,57918,Port,EXPOSES
198,Interface,32218,Port,EXPOSES
198,Interface,32219,Port,EXPOSES
200,Interface,57928,Port,EXPOSES
200,Interface,57931,Port,EXPOSES
200,Interface,57923,Port,EXPOSES
200,Interface,57930,Port,EXPOSES
200,Interface,57926,Port,EXPOSES
200,Interface,57933,Port,EXPOSES
200,Interface,32220,Port,EXPOSES
200,Interface,57925,Port,EXPOSES
200,Interface,57921,Port,EXPOSES
200,Interface,57924,Port,EXPOSES
200,Interface,57922,Port,EXPOSES
200,Interface,57927,Port,EXPOSES
200,Interface,57932,Port,EXPOSES
200,Interface,57929,Port,EXPOSES
202,Interface,57937,Port,EXPOSES
202,Interface,32221,Port,EXPOSES
202,Interface,57944,Port,EXPOSES
202,Interface,57941,Port,EXPOSES
202,Interface,57935,Port,EXPOSES
202,Interface,57945,Port,EXPOSES
202,Interface,57942,Port,EXPOSES
202,Interface,57934,Port,EXPOSES
202,Interface,57936,Port,EXPOSES
202,Interface,57946,Port,EXPOSES
202,Interface,57943,Port,EXPOSES
202,Interface,57939,Port,EXPOSES
202,Interface,57940,Port,EXPOSES
202,Interface,57938,Port,EXPOSES
204,Interface,32223,Port,EXPOSES
204,Interface,32222,Port,EXPOSES
206,Interface,32225,Port,EXPOSES
206,Interface,32224,Port,EXPOSES
208,Interface,32227,Port,EXPOSES
208,Interface,32226,Port,EXPOSES
210,Interface,57954,Port,EXPOSES
210,Interface,57956,Port,EXPOSES
210,Interface,57953,Port,EXPOSES
210,Interface,57959,Port,EXPOSES
210,Interface,57958,Port,EXPOSES
210,Interface,32228,Port,EXPOSES
210,Interface,57950,Port,EXPOSES
210,Interface,57947,Port,EXPOSES
210,Interface,57955,Port,EXPOSES
210,Interface,57951,Port,EXPOSES
210,Interface,57949,Port,EXPOSES
210,Interface,57952,Port,EXPOSES
210,Interface,57957,Port,EXPOSES
210,Interface,57948,Port,EXPOSES
212,Interface,32230,Port,EXPOSES
212,Interface,32229,Port,EXPOSES
214,Interface,57965,Port,EXPOSES
214,Interface,57969,Port,EXPOSES
214,Interface,57968,Port,EXPOSES
214,Interface,57963,Port,EXPOSES
214,Interface,57961,Port,EXPOSES
214,Interface,57962,Port,EXPOSES
214,Interface,57972,Port,EXPOSES
214,Interface,57960,Port,EXPOSES
214,Interface,57971,Port,EXPOSES
214,Interface,32231,Port,EXPOSES
214,Interface,57967,Port,EXPOSES
214,Interface,57970,Port,EXPOSES
214,Interface,57964,Port,EXPOSES
214,Interface,57966,Port,EXPOSES
216,Interface,32232,Port,EXPOSES
216,Interface,32233,Port,EXPOSES
218,Interface,32234,Port,EXPOSES
218,Interface,32235,Port,EXPOSES
220,Interface,57974,Port,EXPOSES
220,Interface,57973,Port,EXPOSES
220,Interface,32236,Port,EXPOSES
220,Interface,57975,Port,EXPOSES
222,Interface,32237,Port,EXPOSES
224,Interface,57987,Port,EXPOSES
224,Interface,57980,Port,EXPOSES
224,Interface,57988,Port,EXPOSES
224,Interface,32238,Port,EXPOSES
224,Interface,57983,Port,EXPOSES
224,Interface,57982,Port,EXPOSES
224,Interface,57978,Port,EXPOSES
224,Interface,57981,Port,EXPOSES
224,Interface,57976,Port,EXPOSES
224,Interface,57986,Port,EXPOSES
224,Interface,57977,Port,EXPOSES
224,Interface,57979,Port,EXPOSES
224,Interface,57985,Port,EXPOSES
224,Interface,57984,Port,EXPOSES
226,Interface,32239,Port,EXPOSES
226,Interface,32240,Port,EXPOSES
228,Interface,57990,Port,EXPOSES
228,Interface,57989,Port,EXPOSES
228,Interface,32241,Port,EXPOSES
228,Interface,57991,Port,EXPOSES
230,Interface,32243,Port,EXPOSES
230,Interface,32242,Port,EXPOSES
232,Interface,57999,Port,EXPOSES
232,Interface,57998,Port,EXPOSES
232,Interface,58004,Port,EXPOSES
232,Interface,58001,Port,EXPOSES
232,Interface,57993,Port,EXPOSES
232,Interface,58002,Port,EXPOSES
232,Interface,57997,Port,EXPOSES
232,Interface,58000,Port,EXPOSES
232,Interface,32244,Port,EXPOSES
232,Interface,57992,Port,EXPOSES
232,Interface,57996,Port,EXPOSES
232,Interface,57994,Port,EXPOSES
232,Interface,57995,Port,EXPOSES
232,Interface,58003,Port,EXPOSES
234,Interface,32245,Port,EXPOSES
234,Interface,58013,Port,EXPOSES
234,Interface,58011,Port,EXPOSES
234,Interface,58014,Port,EXPOSES
234,Interface,58009,Port,EXPOSES
234,Interface,58008,Port,EXPOSES
234,Interface,58007,Port,EXPOSES
234,Interface,58015,Port,EXPOSES
234,Interface,58006,Port,EXPOSES
234,Interface,58016,Port,EXPOSES
234,Interface,58017,Port,EXPOSES
234,Interface,58005,Port,EXPOSES
234,Interface,58012,Port,EXPOSES
234,Interface,58010,Port,EXPOSES
236,Interface,32246,Port,EXPOSES
238,Interface,32247,Port,EXPOSES
240,Interface,32248,Port,EXPOSES
242,Interface,58020,Port,EXPOSES
242,Interface,58028,Port,EXPOSES
242,Interface,58018,Port,EXPOSES
242,Interface,58019,Port,EXPOSES
242,Interface,32249,Port,EXPOSES
242,Interface,58027,Port,EXPOSES
242,Interface,58029,Port,EXPOSES
242,Interface,58024,Port,EXPOSES
242,Interface,58030,Port,EXPOSES
242,Interface,58021,Port,EXPOSES
242,Interface,58023,Port,EXPOSES
242,Interface,58026,Port,EXPOSES
242,Interface,58025,Port,EXPOSES
242,Interface,58022,Port,EXPOSES
244,Interface,58032,Port,EXPOSES
244,Interface,58033,Port,EXPOSES
244,Interface,58031,Port,EXPOSES
244,Interface,32250,Port,EXPOSES
246,Interface,32251,Port,EXPOSES
246,Interface,32252,Port,EXPOSES
248,Interface,32253,Port,EXPOSES
250,Interface,32254,Port,EXPOSES
252,Interface,32255,Port,EXPOSES
254,Interface,58041,Port,EXPOSES
254,Interface,58034,Port,EXPOSES
254,Interface,32256,Port,EXPOSES
254,Interface,58035,Port,EXPOSES
254,Interface,58044,Port,EXPOSES
254,Interface,58046,Port,EXPOSES
254,Interface,58039,Port,EXPOSES
254,Interface,58045,Port,EXPOSES
254,Interface,58040,Port,EXPOSES
254,Interface,58042,Port,EXPOSES
254,Interface,58038,Port,EXPOSES
254,Interface,58037,Port,EXPOSES
254,Interface,58036,Port,EXPOSES
254,Interface,58043,Port,EXPOSES
256,Interface,58057,Port,EXPOSES
256,Interface,58056,Port,EXPOSES
256,Interface,58052,Port,EXPOSES
256,Interface,58054,Port,EXPOSES
256,Interface,58050,Port,EXPOSES
256,Interface,58059,Port,EXPOSES
256,Interface,58048,Port,EXPOSES
256,Interface,58047,Port,EXPOSES
256,Interface,58058,Port,EXPOSES
256,Interface,58051,Port,EXPOSES
256,Interface,32257,Port,EXPOSES
256,Interface,58053,Port,EXPOSES
256,Interface,58049,Port,EXPOSES
256,Interface,58055,Port,EXPOSES
258,Interface,58062,Port,EXPOSES
258,Interface,32258,Port,EXPOSES
258,Interface,58060,Port,EXPOSES
258,Interface,58061,Port,EXPOSES
260,Interface,32260,Port,EXPOSES
260,Interface,32259,Port,EXPOSES
262,Interface,58064,Port,EXPOSES
262,Interface,58063,Port,EXPOSES
262,Interface,58065,Port,EXPOSES
262,Interface,32261,Port,EXPOSES
264,Interface,32262,Port,EXPOSES
266,Interface,58071,Port,EXPOSES
266,Interface,58066,Port,EXPOSES
266,Interface,58072,Port,EXPOSES
266,Interface,58077,Port,EXPOSES
266,Interface,58069,Port,EXPOSES
266,Interface,58073,Port,EXPOSES
266,Interface,58067,Port,EXPOSES
266,Interface,58076,Port,EXPOSES
266,Interface,32263,Port,EXPOSES
266,Interface,58075,Port,EXPOSES
266,Interface,58078,Port,EXPOSES
266,Interface,58068,Port,EXPOSES
266,Interface,58070,Port,EXPOSES
266,Interface,58074,Port,EXPOSES
268,Interface,32264,Port,EXPOSES
270,Interface,32265,Port,EXPOSES
272,Interface,58079,Port,EXPOSES
272,Interface,58080,Port,EXPOSES
272,Interface,58081,Port,EXPOSES
272,Interface,32266,Port,EXPOSES
274,Interface,58082,Port,EXPOSES
274,Interface,58094,Port,EXPOSES
274,Interface,58092,Port,EXPOSES
274,Interface,58087,Port,EXPOSES
274,Interface,58093,Port,EXPOSES
274,Interface,58083,Port,EXPOSES
274,Interface,58085,Port,EXPOSES
274,Interface,58088,Port,EXPOSES
274,Interface,58089,Port,EXPOSES
274,Interface,58090,Port,EXPOSES
274,Interface,58084,Port,EXPOSES
274,Interface,58086,Port,EXPOSES
274,Interface,58091,Port,EXPOSES
274,Interface,32267,Port,EXPOSES
276,Interface,32268,Port,EXPOSES
276,Interface,32269,Port,EXPOSES
278,Interface,32270,Port,EXPOSES
280,Interface,58097,Port,EXPOSES
280,Interface,58095,Port,EXPOSES
280,Interface,32271,Port,EXPOSES
280,Interface,58096,Port,EXPOSES
282,Interface,32272,Port,EXPOSES
282,Interface,32273,Port,EXPOSES
284,Interface,58100,Port,EXPOSES
284,Interface,58098,Port,EXPOSES
284,Interface,58099,Port,EXPOSES
284,Interface,32274,Port,EXPOSES
286,Interface,32275,Port,EXPOSES
286,Interface,32276,Port,EXPOSES
288,Interface,58101,Port,EXPOSES
288,Interface,58103,Port,EXPOSES
288,Interface,58102,Port,EXPOSES
288,Interface,32277,Port,EXPOSES
290,Interface,32278,Port,EXPOSES
292,Interface,32280,Port,EXPOSES
292,Interface,32279,Port,EXPOSES
294,Interface,32281,Port,EXPOSES
294,Interface,32282,Port,EXPOSES
296,Interface,58110,Port,EXPOSES
296,Interface,58116,Port,EXPOSES
296,Interface,58115,Port,EXPOSES
296,Interface,58108,Port,EXPOSES
296,Interface,58104,Port,EXPOSES
296,Interface,58113,Port,EXPOSES
296,Interface,58105,Port,EXPOSES
296,Interface,58106,Port,EXPOSES
296,Interface,58107,Port,EXPOSES
296,Interface,58114,Port,EXPOSES
296,Interface,58111,Port,EXPOSES
296,Interface,58112,Port,EXPOSES
296,Interface,58109,Port,EXPOSES
296,Interface,32283,Port,EXPOSES
298,Interface,32284,Port,EXPOSES
300,Interface,32285,Port,EXPOSES
302,Interface,58124,Port,EXPOSES
302,Interface,58128,Port,EXPOSES
302,Interface,58119,Port,EXPOSES
302,Interface,58120,Port,EXPOSES
302,Interface,58127,Port,EXPOSES
302,Interface,58122,Port,EXPOSES
302,Interface,58118,Port,EXPOSES
302,Interface,58129,Port,EXPOSES
302,Interface,58125,Port,EXPOSES
302,Interface,58117,Port,EXPOSES
302,Interface,32286,Port,EXPOSES
302,Interface,58123,Port,EXPOSES
302,Interface,58126,Port,EXPOSES
302,Interface,58121,Port,EXPOSES
304,Interface,32287,Port,EXPOSES
304,Interface,58130,Port,EXPOSES
304,Interface,58132,Port,EXPOSES
304,Interface,58133,Port,EXPOSES
