source,source_label,target,target_label,type
15,Rack,223,Machine,HOLDS
15,Rack,429,Machine,HOLDS
15,Rack,217,Machine,HOLDS
15,Rack,213,Machine,HOLDS
15,Rack,141,Machine,HOLDS
15,Rack,389,Machine,HOLDS
15,Rack,377,Machine,HOLDS
15,Rack,211,Machine,HOLDS
15,Rack,391,Machine,HOLDS
15,Rack,533,Machine,HOLDS
15,Rack,295,Machine,HOLDS
15,Rack,359,Machine,HOLDS
15,Rack,381,Machine,HOLDS
15,Rack,239,Machine,HOLDS
15,Rack,201,Machine,HOLDS
15,Rack,327,Machine,HOLDS
15,Rack,349,Machine,HOLDS
15,Rack,315,Machine,HOLDS
15,Rack,331,Machine,HOLDS
15,Rack,225,Machine,HOLDS
15,Rack,469,Machine,HOLDS
15,Rack,291,Machine,HOLDS
15,Rack,393,Machine,HOLDS
15,Rack,219,Machine,HOLDS
15,Rack,279,Machine,HOLDS
15,Rack,369,Machine,HOLDS
15,Rack,307,Machine,HOLDS
15,Rack,259,Machine,HOLDS
15,Rack,461,Machine,HOLDS
15,Rack,271,Machine,HOLDS
15,Rack,463,Machine,HOLDS
15,Rack,447,Machine,HOLDS
15,Rack,253,Machine,HOLDS
15,Rack,439,Machine,HOLDS
15,Rack,155,Machine,HOLDS
15,Rack,353,Machine,HOLDS
15,Rack,399,Machine,HOLDS
15,Rack,505,Machine,HOLDS
15,Rack,443,Machine,HOLDS
15,Rack,179,Machine,HOLDS
15,Rack,531,Machine,HOLDS
15,Rack,267,Machine,HOLDS
15,Rack,273,Machine,HOLDS
15,Rack,169,Machine,HOLDS
15,Rack,521,Machine,HOLDS
15,Rack,245,Machine,HOLDS
15,Rack,465,Machine,HOLDS
15,Rack,143,Machine,HOLDS
15,Rack,395,Machine,HOLDS
15,Rack,503,Machine,HOLDS
15,Rack,257,Machine,HOLDS
15,Rack,261,Machine,HOLDS
15,Rack,409,Machine,HOLDS
15,Rack,241,Machine,HOLDS
15,Rack,147,Machine,HOLDS
15,Rack,507,Machine,HOLDS
15,Rack,517,Machine,HOLDS
15,Rack,233,Machine,HOLDS
15,Rack,451,Machine,HOLDS
15,Rack,175,Machine,HOLDS
15,Rack,293,Machine,HOLDS
