source,source_label,target,target_label,type
16180,Application:Process,32180,Port,LISTENS
16180,Application:Process,32179,Port,LISTENS
16182,Application:Process,32182,Port,LISTENS
16182,Application:Process,32181,Port,LISTENS
16184,Application:Process,32184,Port,LISTENS
16184,Application:Process,32183,Port,LISTENS
16186,Application:Process,32185,Port,LISTENS
16188,Application:Process,32186,Port,LISTENS
16190,Application:Process,32187,Port,LISTENS
16192,Application:Process,32188,Port,LISTENS
16194,Application:Process,32189,Port,LISTENS
16196,Application:Process,32190,Port,LISTENS
16196,Application:Process,32191,Port,LISTENS
16198,Application:Process,32192,Port,LISTENS
16200,Application:Process,32194,Port,LISTENS
16200,Application:Process,32193,Port,LISTENS
16202,Application:Process,32195,Port,LISTENS
16204,Application:Process,32196,Port,LISTENS
16206,Application:Process,32197,Port,LISTENS
16206,Application:Process,32198,Port,LISTENS
16208,Application:Process,32199,Port,LISTENS
16208,Application:Process,32200,Port,LISTENS
16210,Application:Process,32202,Port,LISTENS
16210,Application:Process,32201,Port,LISTENS
16212,Application:Process,32203,Port,LISTENS
16214,Application:Process,32204,Port,LISTENS
16216,Application:Process,32205,Port,LISTENS
16218,Application:Process,32206,Port,LISTENS
16220,Application:Process,32208,Port,LISTENS
16220,Application:Process,32207,Port,LISTENS
16222,Application:Process,32209,Port,LISTENS
16224,Application:Process,32211,Port,LISTENS
16224,Application:Process,32210,Port,LISTENS
16226,Application:Process,32212,Port,LISTENS
16228,Application:Process,32214,Port,LISTENS
16228,Application:Process,32213,Port,LISTENS
16230,Application:Process,32215,Port,LISTENS
16232,Application:Process,32216,Port,LISTENS
16234,Application:Process,32217,Port,LISTENS
16236,Application:Process,32218,Port,LISTENS
16236,Application:Process,32219,Port,LISTENS
16238,Application:Process,32220,Port,LISTENS
16240,Application:Process,32221,Port,LISTENS
16242,Application:Process,32222,Port,LISTENS
16242,Application:Process,32223,Port,LISTENS
16244,Application:Process,32224,Port,LISTENS
16244,Application:Process,32225,Port,LISTENS
16246,Application:Process,32227,Port,LISTENS
16246,Application:Process,32226,Port,LISTENS
16248,Application:Process,32228,Port,LISTENS
16250,Application:Process,32229,Port,LISTENS
16250,Application:Process,32230,Port,LISTENS
16252,Application:Process,32231,Port,LISTENS
16254,Application:Process,32232,Port,LISTENS
16254,Application:Process,32233,Port,LISTENS
16256,Application:Process,32234,Port,LISTENS
16256,Application:Process,32235,Port,LISTENS
16258,Application:Process,32236,Port,LISTENS
16260,Application:Process,32237,Port,LISTENS
16262,Application:Process,32238,Port,LISTENS
16264,Application:Process,32239,Port,LISTENS
16264,Application:Process,32240,Port,LISTENS
16266,Application:Process,32241,Port,LISTENS
16268,Application:Process,32242,Port,LISTENS
16268,Application:Process,32243,Port,LISTENS
16270,Application:Process,32244,Port,LISTENS
16272,Application:Process,32245,Port,LISTENS
16274,Application:Process,32246,Port,LISTENS
16276,Application:Process,32247,Port,LISTENS
16278,Application:Process,32248,Port,LISTENS
16280,Application:Process,32249,Port,LISTENS
16282,Application:Process,32250,Port,LISTENS
16284,Application:Process,32252,Port,LISTENS
16284,Application:Process,32251,Port,LISTENS
16286,Application:Process,32253,Port,LISTENS
16288,Application:Process,32254,Port,LISTENS
16290,Application:Process,32255,Port,LISTENS
16292,Application:Process,32256,Port,LISTENS
16294,Application:Process,32257,Port,LISTENS
16296,Application:Process,32258,Port,LISTENS
16298,Application:Process,32259,Port,LISTENS
16298,Application:Process,32260,Port,LISTENS
16300,Application:Process,32261,Port,LISTENS
16302,Application:Process,32262,Port,LISTENS
16304,Application:Process,32263,Port,LISTENS
16306,Application:Process,32264,Port,LISTENS
16308,Application:Process,32265,Port,LISTENS
16310,Application:Process,32266,Port,LISTENS
16312,Application:Process,32267,Port,LISTENS
16314,Application:Process,32268,Port,LISTENS
16314,Application:Process,32269,Port,LISTENS
16316,Application:Process,32270,Port,LISTENS
16318,Application:Process,32271,Port,LISTENS
16320,Application:Process,32273,Port,LISTENS
16320,Application:Process,32272,Port,LISTENS
16322,Application:Process,32274,Port,LISTENS
16324,Application:Process,32275,Port,LISTENS
16324,Application:Process,32276,Port,LISTENS
16326,Application:Process,32277,Port,LISTENS
16328,Application:Process,32278,Port,LISTENS
16330,Application:Process,32279,Port,LISTENS
16330,Application:Process,32280,Port,LISTENS
16332,Application:Process,32282,Port,LISTENS
