source,source_label,target,target_label,type
16155,Version,16154,Version,PREVIOUS
16156,Version,16155,Version,PREVIOUS
16158,Version,16157,Version,PREVIOUS
16159,Version,16158,Version,PREVIOUS
16160,Version,16159,Version,PREVIOUS
16162,Version,16161,Version,PREVIOUS
16163,Version,16162,Version,PREVIOUS
16165,Version,16164,Version,PREVIOUS
16167,Version,16166,Version,PREVIOUS
16168,Version,16167,Version,PREVIOUS
16170,Version,16169,Version,PREVIOUS
16171,Version,16170,Version,PREVIOUS
16172,Version,16171,Version,PREVIOUS
16174,Version,16173,Version,PREVIOUS
16175,Version,16174,Version,PREVIOUS
16176,Version,16175,Version,PREVIOUS
