source,source_label,target,target_label,type
1,Router:Egress,2,Interface,ROUTES
3,Network:Zone,44,Interface,ROUTES
3,Network:Zone,26,Interface,ROUTES
3,Network:Zone,41,Interface,ROUTES
3,Network:Zone,38,Interface,ROUTES
3,Network:Zone,35,Interface,ROUTES
3,Network:Zone,29,Interface,ROUTES
3,Network:Zone,32,Interface,ROUTES
3,Network:Zone,23,Interface,ROUTES
3,Network:Zone,20,Interface,ROUTES
3,Network:Zone,17,Interface,ROUTES
4,Router,5,Interface,ROUTES
6,Network:Zone,53,Interface,ROUTES
6,Network:Zone,56,Interface,ROUTES
6,Network:Zone,74,Interface,ROUTES
6,Network:Zone,47,Interface,ROUTES
6,Network:Zone,65,Interface,ROUTES
6,Network:Zone,50,Interface,ROUTES
6,Network:Zone,71,Interface,ROUTES
6,Network:Zone,68,Interface,ROUTES
6,Network:Zone,59,Interface,ROUTES
6,Network:Zone,62,Interface,ROUTES
7,Router,8,Interface,ROUTES
9,Network:Zone,77,Interface,ROUTES
9,Network:Zone,92,Interface,ROUTES
9,Network:Zone,104,Interface,ROUTES
9,Network:Zone,98,Interface,ROUTES
9,Network:Zone,80,Interface,ROUTES
9,Network:Zone,95,Interface,ROUTES
9,Network:Zone,83,Interface,ROUTES
9,Network:Zone,101,Interface,ROUTES
9,Network:Zone,89,Interface,ROUTES
9,Network:Zone,86,Interface,ROUTES
10,Router,11,Interface,ROUTES
12,Network:Zone,128,Interface,ROUTES
12,Network:Zone,131,Interface,ROUTES
12,Network:Zone,119,Interface,ROUTES
12,Network:Zone,122,Interface,ROUTES
12,Network:Zone,107,Interface,ROUTES
12,Network:Zone,116,Interface,ROUTES
12,Network:Zone,110,Interface,ROUTES
12,Network:Zone,134,Interface,ROUTES
12,Network:Zone,125,Interface,ROUTES
12,Network:Zone,113,Interface,ROUTES
13,Router,14,Interface,ROUTES
16,Switch,17,Interface,ROUTES
19,Switch,20,Interface,ROUTES
22,Switch,23,Interface,ROUTES
25,Switch,26,Interface,ROUTES
28,Switch,29,Interface,ROUTES
31,Switch,32,Interface,ROUTES
34,Switch,35,Interface,ROUTES
37,Switch,38,Interface,ROUTES
40,Switch,41,Interface,ROUTES
43,Switch,44,Interface,ROUTES
46,Switch,47,Interface,ROUTES
