id,labels,dependencies,name,pid,ports,startTime
16149,Software:Application,postgres/9.4,webserver,,80;443,
16150,Software:Application,java/8;neo4j/3.1,crm,,80;443,
16151,Software:Application,php;webserver;couchbase,cms,,8080,
16152,Software:Application,java;neo4j,webapp,,8080,
16153,Software:Application,elasticsearch/5.2,logstash,,5000,
16180,Application:Process,,webserver,8966,,1606178140338
16182,Application:Process,,crm,4885,,1606757328692
16184,Application:Process,,crm,5871,,1606841130199
16186,Application:Process,,cms,5139,,1606585350284
16188,Application:Process,,webapp,138,,1606895280113
16190,Application:Process,,cms,315,,1606664116379
16192,Application:Process,,webapp,4407,,1606268195669
16194,Application:Process,,logstash,6216,,1606993900656
16196,Application:Process,,crm,1771,,1606992390769
16198,Application:Process,,logstash,7441,,1606348216526
16200,Application:Process,,crm,1534,,1606206043096
16202,Application:Process,,logstash,1500,,1606758525812
16204,Application:Process,,cms,3446,,1606724144921
16206,Application:Process,,crm,6675,,1606294132187
16208,Application:Process,,webserver,1320,,1606529346760
16210,Application:Process,,crm,1502,,1606461849304
16212,Application:Process,,logstash,1601,,1606411454813
16214,Application:Process,,logstash,4623,,1606803068957
16216,Application:Process,,webapp,3240,,1606606052110
16218,Application:Process,,webapp,2337,,1606534368950
16220,Application:Process,,crm,2731,,1606512493244
16222,Application:Process,,cms,1553,,1607017808458
16224,Application:Process,,webserver,422,,1606555821060
16226,Application:Process,,logstash,1662,,1606547705609
16228,Application:Process,,webserver,2878,,1606604355177
16230,Application:Process,,logstash,9929,,1606208591620
16232,Application:Process,,webapp,1984,,1606711290303
16234,Application:Process,,cms,4884,,1606382520636
16236,Application:Process,,crm,8028,,1606384703214
16238,Application:Process,,cms,2740,,1606952634315
16240,Application:Process,,cms,2739,,1606649395828
16242,Application:Process,,crm,2380,,1606291313321
16244,Application:Process,,webserver,2150,,1606803507868
16246,Application:Process,,crm,7762,,1606783075127
16248,Application:Process,,cms,9121,,1606221463106
16250,Application:Process,,crm,9720,,1607018627523
16252,Application:Process,,cms,1333,,1606219329802
16254,Application:Process,,crm,7881,,1606193147537
16256,Application:Process,,crm,2099,,1606577255329
16258,Application:Process,,webapp,8447,,1606748096752
16260,Application:Process,,logstash,402,,1606598257185
16262,Application:Process,,cms,241,,1606415124026
16264,Application:Process,,crm,7346,,1606553848545
16266,Application:Process,,webapp,5024,,1606497072562
16268,Application:Process,,webserver,2881,,1606635779196
16270,Application:Process,,cms,737,,1606383192042
16272,Application:Process,,cms,4610,,1606463378301
16274,Application:Process,,logstash,2701,,1606379011100
16276,Application:Process,,logstash,5044,,1606893475638
16278,Application:Process,,logstash,4682,,1606839520665
16280,Application:Process,,cms,2543,,1606415170288
16282,Application:Process,,webapp,8402,,1606437442257
16284,Application:Process,,webserver,6602,,1606682224081
16286,Application:Process,,logstash,2417,,1606821112119
16288,Application:Process,,logstash,2451,,1606582055187
16290,Application:Process,,logstash,9526,,1606384392211
16292,Application:Process,,cms,1000,,1606716530367
16294,Application:Process,,cms,3166,,1606784798841
