id,labels,port
32179,Port,80
32180,Port,443
32181,Port,80
32182,Port,443
32183,Port,80
32184,Port,443
32185,Port,8080
32186,Port,8080
32187,Port,8080
32188,Port,8080
32189,Port,5000
32190,Port,80
32191,Port,443
32192,Port,5000
32193,Port,80
32194,Port,443
32195,Port,5000
32196,Port,8080
32197,Port,80
32198,Port,443
32199,Port,80
32200,Port,443
32201,Port,80
32202,Port,443
32203,Port,5000
32204,Port,5000
32205,Port,8080
32206,Port,8080
32207,Port,80
32208,Port,443
32209,Port,8080
32210,Port,80
32211,Port,443
32212,Port,5000
32213,Port,80
32214,Port,443
32215,Port,5000
32216,Port,8080
32217,Port,8080
32218,Port,80
32219,Port,443
32220,Port,8080
32221,Port,8080
32222,Port,80
32223,Port,443
32224,Port,80
32225,Port,443
32226,Port,80
32227,Port,443
32228,Port,8080
32229,Port,80
32230,Port,443
32231,Port,8080
32232,Port,80
32233,Port,443
32234,Port,80
32235,Port,443
32236,Port,8080
32237,Port,5000
32238,Port,8080
32239,Port,80
32240,Port,443
32241,Port,8080
32242,Port,80
32243,Port,443
32244,Port,8080
32245,Port,8080
32246,Port,5000
32247,Port,5000
32248,Port,5000
32249,Port,8080
32250,Port,8080
32251,Port,80
32252,Port,443
32253,Port,5000
32254,Port,5000
32255,Port,5000
32256,Port,8080
32257,Port,8080
32258,Port,8080
32259,Port,80
32260,Port,443
32261,Port,8080
32262,Port,5000
32263,Port,8080
32264,Port,5000
32265,Port,5000
32266,Port,8080
32267,Port,8080
32268,Port,80
32269,Port,443
32270,Port,5000
32271,Port,8080
32272,Port,80
32273,Port,443
32274,Port,8080
32275,Port,80
32276,Port,443
32277,Port,8080
32278,Port,5000
32279,Port,80
32280,Port,443
32281,Port,80
32282,Port,443
32283,Port,8080
32284,Port,5000
32285,Port,5000
32286,Port,8080
32287,Port,8080
32288,Port,80
32289,Port,443
32290,Port,8080
32291,Port,80
32292,Port,443
32293,Port,8080
32294,Port,5000
32295,Port,80
32296,Port,443
32297,Port,8080
32298,Port,8080
32299,Port,80
32300,Port,443
32301,Port,80
32302,Port,443
32303,Port,80
32304,Port,443
32305,Port,8080
32306,Port,80
32307,Port,443
32308,Port,8080
32309,Port,80
32310,Port,443
32311,Port,8080
32312,Port,80
32313,Port,443
32314,Port,80
32315,Port,443
32316,Port,80
32317,Port,443
32318,Port,8080
32319,Port,80
32320,Port,443
32321,Port,80
32322,Port,443
32323,Port,80
32324,Port,443
32325,Port,8080
32326,Port,5000
32327,Port,8080
32328,Port,80
32329,Port,443
32330,Port,5000
32331,Port,80
32332,Port,443
32333,Port,5000
32334,Port,8080
32335,Port,80
32336,Port,443
32337,Port,80
32338,Port,443
32339,Port,80
32340,Port,443
32341,Port,5000
32342,Port,8080
32343,Port,5000
32344,Port,8080
32345,Port,8080
32346,Port,8080
32347,Port,8080
32348,Port,8080
32349,Port,5000
32350,Port,80
32351,Port,443
32352,Port,80
32353,Port,443
32354,Port,5000
32355,Port,8080
32356,Port,8080
32357,Port,80
32358,Port,443
32359,Port,80
32360,Port,443
32361,Port,8080
32362,Port,80
