id,labels,dependencies,name,pid,ports,startTime,versions
16144,Software:Service,,java,,,,8
16145,Software:Service,java/8,neo4j,,7474;7473;7687,,3.0;3.1
16146,Software:Service,,postgres,,5432,,9.4;9.5;9.6
16147,Software:Service,,couchbase,,8091;8092;11207;11209;11210;11211;11214;11215;18091;18092;4369,,3.0;4.0;4.5;4.6
16148,Software:Service,java/8,elasticsearch,,9200;9300;9500;9700,,2.4;5.0;5.1;5.2
43411,Service:Process,,9.4,7211,,1606677429918,
43412,Service:Process,,8,9790,,1606219581164,
43413,Service:Process,,3.1,1299,,1606356137963,
43414,Service:Process,,8,8363,,1606531361821,
43415,Service:Process,,3.1,1940,,1606216403663,
43416,Service:Process,,couchbase,5128,,1606305250117,
43417,Service:Process,,php,5398,,1606661507515,
43418,Service:Process,,webserver,3257,,1606228821351,
43419,Service:Process,,neo4j,3205,,1606359289325,
43420,Service:Process,,java,5161,,1606293717304,
43421,Service:Process,,couchbase,8922,,1606194021694,
43422,Service:Process,,php,2561,,1606891229784,
43423,Service:Process,,webserver,4664,,1606692138322,
43424,Service:Process,,neo4j,8491,,1606614329448,
43425,Service:Process,,java,2809,,1606681594899,
43426,Service:Process,,5.2,869,,1606267853112,
43427,Service:Process,,8,3239,,1606597223369,
43428,Service:Process,,3.1,8911,,1606944145413,
43429,Service:Process,,5.2,7999,,1606989687373,
43430,Service:Process,,8,5166,,1606581257468,
43431,Service:Process,,3.1,2521,,1606807098784,
43432,Service:Process,,5.2,3246,,1606494491430,
43433,Service:Process,,couchbase,1729,,1606506100780,
43434,Service:Process,,php,7187,,1606885210047,
43435,Service:Process,,webserver,5793,,1606976770322,
43436,Service:Process,,8,8943,,1606738776072,
43437,Service:Process,,3.1,7920,,1606545885005,
43438,Service:Process,,9.4,3732,,1606168371444,
43439,Service:Process,,8,8055,,1606816145483,
43440,Service:Process,,3.1,9016,,1606667193079,
43441,Service:Process,,5.2,9041,,1606780200694,
43442,Service:Process,,5.2,5104,,1606849652647,
43443,Service:Process,,neo4j,3328,,1606206017730,
43444,Service:Process,,java,182,,1606733775551,
43445,Service:Process,,neo4j,9840,,1606946898173,
43446,Service:Process,,java,2507,,1606823143150,
43447,Service:Process,,8,936,,1606954422600,
43448,Service:Process,,3.1,9115,,1606711097712,
43449,Service:Process,,couchbase,7090,,1606313888788,
43450,Service:Process,,php,952,,1606918291314,
43451,Service:Process,,webserver,411,,1607001098072,
43452,Service:Process,,9.4,9644,,1606924009117,
43453,Service:Process,,5.2,3096,,1606715577642,
43454,Service:Process,,9.4,7763,,1606501124983,
43455,Service:Process,,5.2,3865,,1606622142347,
43456,Service:Process,,neo4j,2597,,1606210111019,
43457,Service:Process,,java,5009,,1606210546496,
43458,Service:Process,,couchbase,7054,,1606810164451,
43459,Service:Process,,php,3362,,1606564102341,
43460,Service:Process,,webserver,5208,,1606311221981,
43461,Service:Process,,8,597,,1606713537110,
43462,Service:Process,,3.1,409,,1606444197547,
43463,Service:Process,,couchbase,3901,,1606332036299,
43464,Service:Process,,php,4520,,1606712299652,
43465,Service:Process,,webserver,5394,,1606463296215,
43466,Service:Process,,couchbase,44,,1606217710453,
43467,Service:Process,,php,4643,,1606679492857,
43468,Service:Process,,webserver,2726,,1606811972113,
43469,Service:Process,,8,222,,1606228538892,
43470,Service:Process,,3.1,5612,,1606807452867,
43471,Service:Process,,9.4,3087,,1606669166470,
43472,Service:Process,,8,4169,,1606522736043,
43473,Service:Process,,3.1,4671,,1606303102931,
43474,Service:Process,,couchbase,949,,1606787020152,
43475,Service:Process,,php,3912,,1606833919329,
43476,Service:Process,,webserver,2067,,1606913761728,
43477,Service:Process,,8,5706,,1606545502439,
43478,Service:Process,,3.1,7564,,1606523948475,
43479,Service:Process,,couchbase,7098,,1606315015943,
43480,Service:Process,,php,2993,,1606482204832,
43481,Service:Process,,webserver,4136,,1606639388506,
43482,Service:Process,,8,5101,,1606337604812,
43483,Service:Process,,3.1,8485,,1606864512207,
43484,Service:Process,,8,397,,1606575273705,
43485,Service:Process,,3.1,8050,,1606633511111,
43486,Service:Process,,neo4j,5525,,1606966083505,
43487,Service:Process,,java,6854,,1606840504548,
43488,Service:Process,,5.2,9695,,1606190060763,
43489,Service:Process,,couchbase,1012,,1606822509664,
43490,Service:Process,,php,9921,,1606632873391,
43491,Service:Process,,webserver,208,,1606945125340,
43492,Service:Process,,8,2817,,1606548874702,
43493,Service:Process,,3.1,9960,,1606635071124,
43494,Service:Process,,neo4j,3801,,1606403661098,
43495,Service:Process,,java,3766,,1606827984869,
43496,Service:Process,,9.4,5280,,1606426038452,
43497,Service:Process,,couchbase,9958,,1606467990143,
43498,Service:Process,,php,587,,1606779551002,
43499,Service:Process,,webserver,9400,,1606635362960,
43500,Service:Process,,couchbase,7768,,1606618580366,
43501,Service:Process,,php,9847,,1606539000401,
43502,Service:Process,,webserver,1187,,1606912904721,
43503,Service:Process,,5.2,5065,,1606323955393,
43504,Service:Process,,5.2,2176,,1606630465519,
43505,Service:Process,,5.2,6994,,1606409403985,
43506,Service:Process,,couchbase,8378,,1606927380339,
43507,Service:Process,,php,9339,,1606335317654,
43508,Service:Process,,webserver,6374,,1606411309991,
43509,Service:Process,,neo4j,5581,,1606873792505,
43510,Service:Process,,java,4993,,1606497349812,
43511,Service:Process,,9.4,1298,,1606568330135,
43512,Service:Process,,5.2,8920,,1606278325538,
43513,Service:Process,,5.2,6946,,1606860692059,
43514,Service:Process,,5.2,1843,,1606212687122,
43515,Service:Process,,couchbase,8813,,1606391069939,
43516,Service:Process,,php,9002,,1606504072595,
43517,Service:Process,,webserver,9611,,1606994937247,
